material_name,material_abbreviation,section,property_name,value,unit,english,test_condition,comments,source_file
"Polypropylene, Fiber Grade",PP-F,Physical Properties,Linear Mold Shrinkage,0.0100 - 0.0250,cm/cm,0.0100 - 0.0250 in/in,@Temperature 50.0 - 50.0 °C,Average value: 0.0175 cm/cm Grade Count:4,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Physical Properties,Melt Flow,0.300 - 1800,g/10 min,0.300 - 1800 g/10 min,,Average value: 97.2 g/10 min Grade Count:138,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,"Hardness, Rockwell R",65.0 - 112,,65.0 - 112,,Average value: 98.3 Grade Count:61,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,"Hardness, Shore D",70.0 - 76.0,,70.0 - 76.0,,Average value: 73.4 Grade Count:20,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,"Tensile Strength, Ultimate",17.8 - 317,MPa,2580 - 46000 psi,,Average value: 113 MPa Grade Count:23,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,"Tensile Strength, Yield",21.0 - 97.0,MPa,3050 - 14100 psi,,Average value: 35.0 MPa Grade Count:103,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,Elongation at Break,15.0 - 720,%,15.0 - 720 %,,Average value: 278 % Grade Count:38,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,Elongation at Yield,6.00 - 203,%,6.00 - 203 %,,Average value: 17.1 % Grade Count:84,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,Modulus of Elasticity,0.650 - 1.99,GPa,94.3 - 289 ksi,,Average value: 1.46 GPa Grade Count:23,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,Tenacity,0.168 - 0.441,N/tex,1.90 - 5.00 g/denier,,Average value: 0.266 N/tex Grade Count:16,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,Flexural Yield Strength,22.0 - 135,MPa,3190 - 19600 psi,,Average value: 53.0 MPa Grade Count:5,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,Flexural Modulus,0.827 - 7.40,GPa,120 - 1070 ksi,,Average value: 1.54 GPa Grade Count:112,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,"Izod Impact, Notched",0.140 - 0.490,J/cm,0.262 - 0.919 ft-lb/in,,Average value: 0.288 J/cm Grade Count:74,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,"Izod Impact, Notched",0.166713 - 0.274586,J/cm,0.312322 - 0.514412 ft-lb/in,@Temperature -20.0 - 0.000 °C,Average value: 0.216 J/cm Grade Count:2,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,"Izod Impact, Unnotched",0.186 - NB,J/cm,0.349 ft-lb/in - NB,,Average value: 3.08 J/cm Grade Count:13,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,"Izod Impact, Notched (ISO)",2.00 - 10.0,kJ/m²,0.952 - 4.76 ft-lb/in²,,Average value: 4.15 kJ/m² Grade Count:20,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,"Izod Impact, Notched (ISO)",8.00 - 8.00,kJ/m²,3.81 - 3.81 ft-lb/in²,@Temperature -30.0 - 30.0 °C,Average value: 8.00 kJ/m² Grade Count:1,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Mechanical Properties,"Charpy Impact, Notched",0.400 - 0.850,J/cm²,1.90 - 4.05 ft-lb/in²,,Average value: 0.543 J/cm² Grade Count:7,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Thermal Properties,Melting Point,146 - 165 °C,°C,295 - 329 °F,,Average value: 162 °C Grade Count:30,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Thermal Properties,Deflection Temperature,60.0 - 129 °C,°C,140 - 264 °F,at 0.46 MPa (66 psi),Average value: 101 °C Grade Count:82,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Thermal Properties,Deflection Temperature,52.0 - 150 °C,°C,126 - 302 °F,at 1.8 MPa (264 psi),Average value: 69.3 °C Grade Count:19,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Thermal Properties,Vicat Softening Point,78.0 - 155 °C,°C,172 - 311 °F,,Average value: 146 °C Grade Count:39,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Thermal Properties,Heat Distortion Temperature,95.0 - 119 °C,°C,203 - 246 °F,,Average value: 108 °C Grade Count:6,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Optical Properties,Haze,50.0 - 79.7,%,50.0 - 79.7 %,,Average value: 63.0 % Grade Count:6,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Optical Properties,Gloss,65.0 - 95.0,%,65.0 - 95.0 %,,Average value: 86.2 % Grade Count:6,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Processing Properties,Processing Temperature,190 - 274 °C,°C,374 - 525 °F,,Average value: 234 °C Grade Count:8,Fibers_material_data.csv
"Polypropylene, Fiber Grade",PP-F,Processing Properties,Melt Temperature,204 - 288 °C,°C,399 - 550 °F,,Average value: 232 °C Grade Count:10,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Physical Properties,Bulk Density,2.48,g/cc,0.0896 lb/in³,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Physical Properties,Density,2.46,g/cc,0.0889 lb/in³,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Physical Properties,Water Absorption,0,%,0.00%,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Physical Properties,Loss On Ignition,0.10 - 1.4,%,0.10 - 1.4%,,Varies according to size type,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Physical Properties,Filament Diameter,5.0 - 25,µm,5.0 - 25 µm,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Mechanical Properties,"Tensile Strength, Ultimate",4445,MPa,644700 psi,@Temperature 371 °C,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Mechanical Properties,"Tensile Strength, Ultimate",4890,MPa,709000 psi,@Temperature 23.0 °C,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Mechanical Properties,Elongation at Break,5.7,%,5.70%,,in 50 mm,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Mechanical Properties,Modulus of Elasticity,86.9,GPa,12600 ksi,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Mechanical Properties,Poissons Ratio,0.22,,0.22,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Electrical Properties,Electrical Resistivity,9.05E+12,ohm-cm,9.05e+12 ohm-cm,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Electrical Properties,Dielectric Constant,5.2,,5.2,@Frequency 1e+10 Hz,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Electrical Properties,Dielectric Constant,5.3,,5.3,@Frequency 1e+6 Hz,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Electrical Properties,Dielectric Strength,18,kV/mm,457 kV/in,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Electrical Properties,Dissipation Factor,0.002,,0.002,@Frequency 1e+6 Hz,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Thermal Properties,"CTE, linear",1.6,µm/m-°C,0.889 µin/in-°F,@Temperature -30.0 - 250 °C,"average, isotropic",Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Thermal Properties,Specific Heat Capacity,0.737,J/g-°C,0.176 BTU/lb-°F,@Temperature 23.0 °C,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Thermal Properties,Specific Heat Capacity,0.935,J/g-°C,0.223 BTU/lb-°F,@Temperature 200 °C,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Thermal Properties,Thermal Conductivity,1.10 - 1.40,W/m-K,7.63 - 9.72 BTU-in/hr-ft²-°F,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Thermal Properties,Melting Point,1466,°C,2671 °F,,Liquidus,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Thermal Properties,Liquidus,1466,°C,2671 °F,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Thermal Properties,"Maximum Service Temperature, Air",875,°C,1610 °F,,"Well above Tg, due to reversible phase separation",Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Thermal Properties,"Maximum Service Temperature, Inert",875,°C,1610 °F,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Thermal Properties,"Transformation Temperature, Tg",845,°C,1550 °F,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Thermal Properties,Softening Point,1056,°C,1933 °F,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Optical Properties,Refractive Index,1.521,,1.521,,,Fibers_material_data.csv
AGY ZenTron® S-2 Generic S-Glass Fiber,S2GF-AGY,Descriptive Properties,Color,Clear,,,,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Physical Properties,Density,2.44,g/cc,0.0882 lb/in³,,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Mechanical Properties,"Tensile Strength, Ultimate",3310,MPa,480000 psi,,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Mechanical Properties,Elongation at Break,4.8,%,4.80%,,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Mechanical Properties,Modulus of Elasticity,68.9,GPa,9990 ksi,,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Mechanical Properties,Poissons Ratio,0.183,,0.183,,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Mechanical Properties,Shear Modulus,29.1,GPa,4220 ksi,,Calculated,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Electrical Properties,Electrical Resistivity,100000000,ohm-cm,1.00e+8 ohm-cm,,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Electrical Properties,Dielectric Constant,6.2,,6.2,@Frequency 1e+6 Hz,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Thermal Properties,"CTE, linear",9,µm/m-°C,5.00 µin/in-°F,@Temperature 20.0 °C,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Thermal Properties,Specific Heat Capacity,0.796,J/g-°C,0.190 BTU/b-°F,,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Thermal Properties,Softening Point,727,°C,1340 °F,,,Fibers_material_data.csv
"A-Glass Fiber, Generic",AGF,Optical Properties,Refractive Index,1.538,,1.538,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Physical Properties,Density,2.54 - 2.60,g/cc,0.0918 - 0.0939 lb/in³,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Mechanical Properties,"Tensile Strength, Ultimate",521,MPa,75500 psi,@Temperature -190 °C,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Mechanical Properties,"Tensile Strength, Ultimate",1725,MPa,250200 psi,@Temperature 540 °C,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Mechanical Properties,"Tensile Strength, Ultimate",2620,MPa,380000 psi,@Temperature 370 °C,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Mechanical Properties,"Tensile Strength, Ultimate",3450-3790,MPa,500000 - 550000 psi,@Temperature 22.0 °C,Virgin strength,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Mechanical Properties,Elongation at Break,4.8,%,4.80%,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Mechanical Properties,Modulus of Elasticity,72.4,GPa,10500 ksi,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Mechanical Properties,Modulus of Elasticity,72.3,GPa,10500 ksi,@Temperature 540 °C,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Mechanical Properties,Poissons Ratio,0.2,,0.2,,Calculated,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Mechanical Properties,Shear Modulus,30,GPa,4350 ksi,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Electrical Properties,Electrical Resistivity,4.02E+12,ohm-cm,4.02e+12 ohm-cm,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Electrical Properties,Dielectric Constant,5.9 - 6.4,,5.9 - 6.4,@Frequency 60 Hz,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Electrical Properties,Dielectric Constant,6.3 - 6.6,,6.3 - 6.6,@Frequency 1e+6 Hz,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Electrical Properties,Dielectric Strength,10.3,kV/mm,262 kV/in,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Electrical Properties,Dissipation Factor,0.0025,,0.0025,@Frequency 1e+6 Hz,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Electrical Properties,Dissipation Factor,0.0034,,0.0034,@Frequency 60 Hz,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Thermal Properties,"CTE, linear",5,µm/m-°C,2.78 µin/in-°F,@Temperature 20.0 °C,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Thermal Properties,"CTE, linear",5.4,µm/m-°C,3.00 µin/in-°F,@Temperature -30.0 - 250 °C,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Thermal Properties,Specific Heat Capacity,0.81,J/g-°C,0.194 BTU/lb-°F,@Temperature 23.0 °C,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Thermal Properties,Specific Heat Capacity,1.03,J/g-°C,0.246 BTU/lb-°F,@Temperature 200 °C,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Thermal Properties,Thermal Conductivity,1.3,W/m-K,9.02 BTU-in/hr-ft²-°F,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Thermal Properties,Melting Point,<= 1725,°C,<= 3137 °F,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Thermal Properties,Softening Point,840.6,°C,1545 °F,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Optical Properties,Refractive Index,1.558,,1.558,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Optical Properties,Refractive Index,1.562,,1.562,,bulk annealed,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Component Elements Properties,A1203,15.2,%,15.20%,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Component Elements Properties,BaO,8,%,8.00%,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Component Elements Properties,CaO,17.2,%,17.20%,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Component Elements Properties,MgO,4.7,%,4.70%,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Component Elements Properties,NaO2,0.6,%,0.60%,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Component Elements Properties,SiO2,54.3,%,54.30%,,,Fibers_material_data.csv
"E-Glass Fiber, Generic",EGF,Descriptive Properties,Velocity of sound,5330,m/s,,,,Fibers_material_data.csv
"D-Glass Fiber, Generic",DGF,Physical Properties,Density,2.11,g/cc,0.0762 lb/in³,,,Fibers_material_data.csv
"D-Glass Fiber, Generic",DGF,Mechanical Properties,"Tensile Strength, Ultimate",2415,MPa,350300 psi,,,Fibers_material_data.csv
"D-Glass Fiber, Generic",DGF,Mechanical Properties,Elongation at Break,4.6,%,4.60%,,,Fibers_material_data.csv
"D-Glass Fiber, Generic",DGF,Mechanical Properties,Modulus of Elasticity,51.7,GPa,7500 ksi,,,Fibers_material_data.csv
"D-Glass Fiber, Generic",DGF,Electrical Properties,Dielectric Constant,3.8,,3.8,@Frequency 1e+6 Hz,,Fibers_material_data.csv
"D-Glass Fiber, Generic",DGF,Thermal Properties,"CTE, linear",2.5,µm/m-°C,1.39 µin/in-°F,@Temperature 20.0 °C,,Fibers_material_data.csv
"D-Glass Fiber, Generic",DGF,Thermal Properties,Specific Heat Capacity,0.733,J/g-°C,0.175 BTU/lb-°F,,,Fibers_material_data.csv
"D-Glass Fiber, Generic",DGF,Optical Properties,Refractive Index,1.465,,1.465,,,Fibers_material_data.csv
Carbon Fiber,T700S,FIBER PROPERTIES,Tensile Strength,4900,MPa,500 kgf/mm²,,Lot properties are reported as average values of a test set per bobbin sampled. The stated values are typical values. Method: TY-QA-002.,Fibers_material_data.csv
Carbon Fiber,T700S,FIBER PROPERTIES,Tensile Modulus,230,GPa,23.5 10³kgf/mm²,,Lot properties are reported as average values of a test set per bobbin sampled. The stated values are typical values. Method: TY-QA-002.,Fibers_material_data.csv
Carbon Fiber,T700S,FIBER PROPERTIES,Elongation,2.1,%,2.10%,,Lot properties are reported as average values of a test set per bobbin sampled. The stated values are typical values. Method: TY-QA-002.,Fibers_material_data.csv
Carbon Fiber,T700S,FIBER PROPERTIES,Density,1.8,g/cm³,1.80 g/cm³,,Lot properties are reported as average values of a test set per bobbin sampled. The stated values are typical values. Method: TY-QA-003.,Fibers_material_data.csv
Carbon Fiber,T700S,FIBER PROPERTIES,Yield,800,g/1000m,800 g/1000m,,Lot properties are reported as average values of a test set per bobbin sampled. The stated values are typical values. Filament Count: 12 000. Method: TY-QA-004.,Fibers_material_data.csv
Carbon Fiber,T700S,FIBER PROPERTIES,Yield,1650,g/1000m,1650 g/1000m,,Lot properties are reported as average values of a test set per bobbin sampled. The stated values are typical values. Filament Count: 24 000. Method: TY-QA-004.,Fibers_material_data.csv
Carbon Fiber,T700S,FUNCTIONAL PROPERTIES,Specific Heat,0.18,Cal/g.°C,0.18 Cal/g.°C,,Nominal value.,Fibers_material_data.csv
Carbon Fiber,T700S,FUNCTIONAL PROPERTIES,Electric Resistivity,1.6,x 10⁻³Ω.cm,1.6 x 10⁻³Ω.cm,,Nominal value.,Fibers_material_data.csv
Carbon Fiber,T700S,FUNCTIONAL PROPERTIES,CTE,-0.38,α10⁻⁶/°C,-0.38 α10⁻⁶/°C,,Nominal value.,Fibers_material_data.csv
Carbon Fiber,T700S,FUNCTIONAL PROPERTIES,Thermal Conductivity,0.0224,Cal/cm.s.°C,0.0224 Cal/cm.s.°C,,Nominal value.,Fibers_material_data.csv
Carbon Fiber,T700S,FUNCTIONAL PROPERTIES,Filament Diameter,7,µm,7 µm,,Nominal value.,Fibers_material_data.csv
Carbon Fiber,T700S,FUNCTIONAL PROPERTIES,Cross Sectional Area,0.44,mm²,0.44 mm²,,Nominal value. Filament Count: 12 000.,Fibers_material_data.csv
Carbon Fiber,T700S,FUNCTIONAL PROPERTIES,Cross Sectional Area,0.92,mm²,0.92 mm²,,Nominal value. Filament Count: 24 000.,Fibers_material_data.csv
Carbon Fiber,T700S,COMPOSITE PROPERTIES,Tensile Strength,2550,MPa,260 kgf/mm²,Toray 2500 - 120°C resin system. Measured temperature: RT. Normalized to 60% fiber volume.,Nominal value.,Fibers_material_data.csv
Carbon Fiber,T700S,COMPOSITE PROPERTIES,Tensile Modulus,135,GPa,14.0 10³kgf/mm²,Toray 2500 - 120°C resin system. Measured temperature: RT. Normalized to 60% fiber volume.,Nominal value.,Fibers_material_data.csv
Carbon Fiber,T700S,COMPOSITE PROPERTIES,Tensile Strain,1.7,%,1.70%,Toray 2500 - 120°C resin system. Measured temperature: RT. Normalized to 60% fiber volume.,Nominal value.,Fibers_material_data.csv
Carbon Fiber,T700S,COMPOSITE PROPERTIES,Compressive Strength,1470,MPa,150 kgf/mm²,Toray 2500 - 120°C resin system. Measured temperature: RT. Normalized to 60% fiber volume.,Nominal value.,Fibers_material_data.csv
Carbon Fiber,T700S,COMPOSITE PROPERTIES,Flexural Modulus,120,GPa,12.3 10³kgf/mm²,Toray 2500 - 120°C resin system. Measured temperature: RT. Normalized to 60% fiber volume.,Nominal value.,Fibers_material_data.csv
Carbon Fiber,T700S,COMPOSITE PROPERTIES,ILSS,69,MPa,7 kgf/mm²,Toray 2500 - 120°C resin system. Measured temperature: RT. Normalized to 60% fiber volume.,Nominal value.,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,PROPERTY,Type of fiber,Basfiber®,,Basfiber,,,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,PROPERTY,Monofilament diameter,From 10 to 22,µm,Range 10 to 22 micrometers,,,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,PROPERTY,Linear density,270-4800,tex,Range 270 to 4800 tex,,,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,PROPERTY,Type of sizing,"11, 12, 13, 15 and 42.",,Sizing types available,,,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,PROPERTY,Sizing content,≥0.4,% wt.,Greater than or equal to 0.4 weight percent,,Minimum content,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,PROPERTY,Resin compatibility,"Polyester, vinyl ester, epoxy polyurethane",,"Compatible with Polyester, vinyl ester, epoxy polyurethane resins",,,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,PROPERTY,Moisture content,<0.1,% wt.,Less than 0.1 weight percent,,,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,THERMAL PROPERTIES,Melting Range,1460-1500,°C,1460 to 1500 degrees Celsius,,,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,THERMAL PROPERTIES,Crystallization temperature,1250,°C,1250 degrees Celsius,,,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,THERMAL PROPERTIES,Sintering Temperature,1050,°C,1050 degrees Celsius,,,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,THERMAL PROPERTIES,Thermal Conductivity,0.031-0.038,W/(m·K),Range 0.031 to 0.038 W/(m·K),,,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,MECHANICAL PROPRIETIES,E-modulus,2900-3200,GPa,Range 2900 to 3200 GPa,ASTM D2343,"Applies to RDR-10.90, RDR-11.110, RDR-13.150, RDR-17.250, RDR-17.600, RDR-19.600 series.",Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,MECHANICAL PROPRIETIES,Tensile strength,90-94,MPa,Range 90 to 94 MPa,ASTM D2343,For RDR-10.90,Fibers_material_data.csv
BASFIBER® ROVING,EGF-R-BASF,MECHANICAL PROPRIETIES,Tensile strength,89-93,MPa,Range 89 to 93 MPa,ASTM D2343,For RDR-11.110,Fibers_material_data.csv
